code,name,credits,description,prerequisite,registration,termsOffered,gradeMode,additionalInformation
AS 101,Heritage and Values of the US Air Force I  Credit,1 (1-0-0),"Course Description: Designed to introduce students to the United States Air and Space Forces. Provides an overview of the basic characteristics, missions, and organization of the Air and Space Forces.",Prerequisite:  None.Term Offered: Fall.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
AS 102,Heritage and Values of the US Air Force II  Credit,1 (1-0-0),"Course Description: Designed to introduce students to the United States Air and Space Forces. Provides an overview of the basic characteristics, missions, and organization of the Air and Space Forces.",Prerequisite:  None.Term Offered: Spring.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
AS 196,A  Leadership Laboratory I  Credit,1 (0-2-0),"Course Description: A dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air and Space Force second lieutenants and complement the AFROTC academic program. Student planned, organized, and executed practicum conducted under the supervision of the Detachment Commander and Operations Flight Commander. Mandatory for students who are members of ROTC or are eligible to pursue a commission as determined by the Detachment Commander.",Prerequisite:  None.Term Offered: Fall.,,,Grade Mode:  S/U Sat/Unsat Only.,"Special Course Fee:  No.
",
AS 196,B  Leadership Laboratory I  Credit,1 (0-2-0),"Course Description: A dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air and Space Force second lieutenants and complement the AFROTC academic program. Student planned, organized, and executed practicum conducted under the supervision of the Detachment Commander and Operations Flight Commander. Mandatory for students who are members of ROTC or are eligible to pursue a commission as determined by the Detachment Commander.",Prerequisite:  None.Term Offered: Spring.,,,Grade Mode:  S/U Sat/Unsat Only.,"Special Course Fee:  No.
",
AS 201,Air Force Team and Leadership Fundamentals I  Credit,1 (1-0-0),Course Description: Provides a fundamental understanding of both leadership and team building. Designed to prepare students for field training and leadership positions in the AFROTC detachment.,"Prerequisite:  AS 101, may be taken concurrently.Term Offered: Fall.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
AS 202,Air Force Team and Leadership Fundamentals II  Credit,1 (1-0-0),Course Description: Provides a fundamental understanding of both leadership and team building. Designed to prepare students for field training and leadership positions in the AFROTC detachment.,Prerequisite:  None.Term Offered: Spring.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
AS 296,A  Leadership Laboratory II  Credit,1 (0-2-0),"Course Description: A dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air and Space Force second lieutenants and complement the AFROTC academic program. Student planned, organized, and executed practicum conducted under the supervision of the Detachment Commander and Operations Flight Commander. Mandatory for students who are members of ROTC or are eligible to pursue a commission as determined by the Detachment Commander.",Prerequisite:  None.Term Offered: Fall.,,,Grade Mode:  S/U Sat/Unsat Only.,"Special Course Fee:  No.
",
AS 296,B  Leadership Laboratory II  Credit,1 (0-2-0),"Course Description: A dynamic and integrated grouping of leadership developmental activities designed to meet the needs and expectations of prospective Air and Space Force second lieutenants and complement the AFROTC academic program. Student planned, organized, and executed practicum conducted under the supervision of the Detachment Commander and Operations Flight Commander. Mandatory for students who are members of ROTC or are eligible to pursue a commission as determined by the Detachment Commander.",Prerequisite:  None.Term Offered: Spring.,,,Grade Mode:  S/U Sat/Unsat Only.,"Special Course Fee:  No.
",
AS 301,Leading People and Effective Communication I  ,3 (3-0-0),"Course Description: Utilizes field training experience to take a more in-depth look at leadership. Special emphasis on enhancing communication skills, and why that is important as a leader. Opportunity to try out these leadership and management techniques in a supervised environment.",Prerequisite:  AS 202.Term Offered: Fall.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
AS 302,Leading People and Effective Communication II  ,3 (3-0-0),"Course Description: Utilizes field training experience to take a more in-depth look at leadership. Special emphasis on enhancing communication skills, and why that is important as a leader. Opportunity to try out these leadership and management techniques in a supervised environment.",Prerequisite:  None.Term Offered: Spring.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
