code,name,credits,description,prerequisite,registration,termsOffered,gradeMode,additionalInformation
AB 120,Agricultural Biology--Freshman Orientation  Credit,1 (1-0-0),Course Description: Introduction to information and skills necessary to succeed in the agricultural biology major.,Prerequisite:  None. Restriction: Must be a: Undergraduate.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: This is a partial semester course.Term Offered: Fall.
AB 130,Working with Agricultural Biology Data  Credit,1 (1-0-0),"Course Description: Introduction to the scientific method and systems thinking in terms of agricultural biology. Develop a hypothesis based on field observations, collect and analyze data to determine if findings align with the hypothesis. Results are communicated in a written report, and oral presentation.","Prerequisite:  AB 120, may be taken concurrently. Restriction: Must be a: Undergraduate.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: This is a partial semester course.Term Offered: Spring.
AB 230,Becoming an Agricultural Biology Professional  Credit,1 (1-0-0),"Course Description: Design professional resumes, and develop interpersonal skills to succeed in a professional environment. Develop criteria to write a report from internships, and develop skills in interpretation of qualitative and quantitative agricultural biology data.",Prerequisite:  AB 130.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Agricultural biology majors only. This is a partial semester course. Credit not allowed for both AB 230 and AB 270.Term Offered: Spring.
AB 270,Agri. Biology Orientation for Transfers  ,2 (2-0-0),"Course Description: Introduction to the scientific method and systems thinking in terms of agricultural biology. Develop a hypothesis based on field observations, collect and analyze data. Prepare to become agricultural biology professionals by designing resumes and practicing skills to succeed in a professional environment.",Prerequisite:  None.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Agricultural biology majors only. Written consent of instructor. Credit not allowed for both AB 230 and AB 270.Term Offered: Fall.
AB 310,Understanding Pesticides  ,3 (3-0-0),"Course Description: Identification, properties, use, labeling, environmental interactions, and application of major classes of pesticides.",Prerequisite:  BZ 100 to 199 - at least 3 credits or CHEM 100 to 199 - at least 3 credits.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Junior standing. Sections may be offered: Online. Credit not allowed for both AB 310 and BSPM 310.Term Offered: Spring.
AB 330,Applications in Agricultural Biology  I  ,2 (2-0-0),"Course Description: Knowledge, skills, and abilities to propose sustainable solutions to biological problems in natural or managed ecosystems. Collectively discuss a diverse set of case studies that incorporate systems approach in solving agricultural biology issues. Hone career plans and professional skills.",Prerequisite:  (AB 230 or AB 270) and (BSPM 302). Restriction: Must be a: Undergraduate.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Agricultural biology majors only.Term Offered: Fall.
AB 340,Insect Biotechnology  ,3 (3-0-0),"Course Description: Introduction to concepts, terminology, and applications of molecular biology techniques as it relates to the entomology. Learn about the use of whole insects, as well as their cells, tissues, and associated bacteria in medical, pharmaceutical, and agricultural applications.",Prerequisite:  LIFE 102.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Credit not allowed for both AB 340 and BSPM 280A1.Term Offered: Spring.
AB 430,Applications in Agricultural Biology II  ,3 (3-0-0),Course Description: Apply systems thinking and dynamic systems modeling to case studies and a capstone project that poses sustainable solutions to biological problems in natural or managed ecosystems. Hone career plans and professional skills.,Prerequisite:  AB 330. Restriction: Must be a: Undergraduate.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Agricultural biology majors only.Term Offered: Fall.
AB 509,Herbicide Selectivity and Action  ,3 (3-0-0),"Course Description: Explores the physicochemical properties of herbicides, their selectivity (through placement and metabolism), their mechanism of action, uses in weed management, visual symptoms of herbicide treatment, how plants can evolve resistance to these compounds, and controversial topics related to the use of herbicides.",Prerequisite:  None.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Sections may be offered: Online.Term Offered: Fall (even years).
AB 511,Microbiome of Plant Systems  ,3 (3-0-0),Course Description: Emphasizes interdisciplinary and cross curricular education with training in disciplines that support an increased understanding of plant associated microbiome and their optimization.,Prerequisite:  None. Restriction: Must be a: Graduate.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Graduate standing.Term Offered: Fall.
