code,name,credits,description,prerequisite,registration,termsOffered,gradeMode,additionalInformation
AGRI 100,Contemporary Agricultural Systems  Credit,1 (0-3-0),"Course Description: Designed to bring together students from across the college in a singular course to become more agriculturally literate individuals and develop a sense of connection to the College of Agricultural Sciences and within the agricultural industry. Goals are achieved through quality field experience engagement, frequent reflection, and small group discussions centered around the depth and breadth of the diverse system of agriculture.",Prerequisite:  None. ,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,"Restrictions: Must not be a: Junior, Senior. Must be a: Undergraduate.",Registration Information: Required field trips. Credit not allowed for both AGRI 100 and AGRI 181A1.Term Offered: Fall.
AGRI 116,Plants and Civilizations (GT-SS3)  ,3 (2-0-1),"Course Description: Plant origins and their relationships with cultures/civilizations as food, spices, perfumes, and medicines and in art, religion, wars, slavery, etc.",Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,Special Course Fee:  No.,"Additional Information:  Diversity, Equity, & Inclusion 1C, Human Behavior, Culture, or Social Frameworks (GT-SS3).
",Also Offered As:  IE 116.,Registration Information: Must register for lecture and recitation. Credit not allowed for both AGRI 116 and IE 116.
AGRI 192,Orientation to Agricultural Systems  Credit,1 (0-0-1),Course Description: Freshman inquiry course in agriculture. Information and skills necessary to succeed in majors in the agricultural sciences.,Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",
AGRI 270,World Interdependence-Population and Food (GT-SS3)  ,3 (3-0-0),Course Description: Survey of world population and food; emphasis on understanding the problems and opportunities in a world context.,Prerequisite:  None.,,,Grade Mode:  Traditional.,Special Course Fee:  No.,"Additional Information:  Diversity, Equity, & Inclusion 1C, Human Behavior, Culture, or Social Frameworks (GT-SS3).
",Also Offered As:  IE 270.,Registration Information: Credit not allowed for both AGRI 270 and IE 270.Term Offered: Spring.
AGRI 292,Transfer Seminar  Credit,1 (1-0-0),"Course Description: The university and its resources, college success skills, careers in the various disciplines of agriculture; current issues in agriculture.",Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Intended for Transfer students.
AGRI 300,Issues in Agriculture  ,2 (2-0-0),"Course Description: Scientific, technical, cultural, and social issues facing agriculture, and their interrelationships.",Prerequisite:  None.,,,"Grade Modes:  S/U within Student Option, Trad within Student Option.","Special Course Fee:  No.
",,Registration Information: Credit not allowed for both AGRI 300 and AGRI 500. Sections may be offered: Online.Term Offered: Fall.
AGRI 330,Agricultural and Food System Ethics  ,3 (3-0-0),Course Description: Basic concepts in ethics and their application to agriculture and the food system.,Prerequisite:  CO 150.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Also Offered As:  PHIL 330.,Registration Information: Credit not allowed for both AGRI 330 and PHIL 330.Term Offered: Spring.
AGRI 383,U.S. Travel-Integrated Resource Management  ,2 (0-2-1),Course Description: Evaluation of integrated ranch management decision alternatives in conjunction with professional resource managers.,Prerequisite:  None.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Also Offered As:  NR 383.,Registration Information: Credit not allowed for both AGRI 383 and NR 383. Must register for laboratory and recitation. Required field trips.Term Offered: Spring.
AGRI 496,A  Group Study: General  ,Var[1-12] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",
AGRI 496,B  Group Study: Agricultural Ambassadors  ,Var[1-12] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",
AGRI 500,Advanced Issues in Agriculture  ,3 (2-0-1),"Course Description: Scientific, technical, cultural, and social issues facing agriculture, and their interrelationships.",Prerequisite:  None.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Must register for lecture and recitation. Sections may be offered: Online. Credit not allowed for both AGRI 300 and AGRI 500.Term Offered: Fall.
AGRI 510,Sustainable Agriculture  ,3 (3-0-0),"Course Description: An interdisciplinary study comparing conventional and alternative land management practices, using an agroecosystem analysis approach.",Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Enrollment in INTO Master of Agriculture Pathways or graduate standing. Sections may be offered: Online.
AGRI 511,A  Study Abroad,Field Applications in Sustainable Agriculture  Credit,"Course Description: Travel to Todos Santos, Mexico for a seven day experience where in-the-field laboratory skills in sustainable agriculture are practiced. Investigate and implement unique, real-time initiatives developed in class while in Todos Santos.",Prerequisite:  AGRI 510.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: A minimum of a 2.5 GPA. This is a partial semester course.
