code,name,credits,description,prerequisite,registration,termsOffered,gradeMode,additionalInformation
ANEQ 101,Food Animal Science  ,4 (3-3-0),"Course Description: Development, organization, trends and management of the livestock industry;  emphasis on applying science to the production of food and fiber.",Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",,Registration Information: Required field trips.
ANEQ 102,Introduction to Equine Science  ,4 (3-2-0),"Course Description: Equine physiology, production systems and management systems as it pertains to the equine industry and management.",Prerequisite:  None.,,,Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",,Registration Information: Must register for lecture and laboratory. Required field trips.Term Offered: Fall.
ANEQ 103,Introduction to Animal Science  ,3 (3-0-0),"Course Description: Introduction to the livestock industries with emphasis on food and fiber animals. Overviews of the industry structures, and historical and future trends. Product quality evaluation and factors influencing animal performance such as management, nutrition, genetics, and reproduction are presented.",Prerequisite:  None.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Non-Animal Sciences majors only. Offered as an online course only.Term Offered: Fall.
ANEQ 104,"Values, Culture, and Food Animal Agriculture  ",3 (3-0-0),Course Description: Evolution of the social values and cultural understandings shaping modern animal agriculture; current problems in animal agriculture.,Prerequisite:  None.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Also Offered As:  PHIL 104.,Registration Information: Non-Animal Science majors with a freshman or sophomore standing.  Credit not allowed for both ANEQ 104 and PHIL 104.Term Offered: Spring.
ANEQ 105,Introduction to Large Animal Anatomy  Credit,1 (0-2-0),Course Description: Basic gross animal anatomy.,Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",,Registration Information: Animal Science or Equine Science majors only.
ANEQ 115,Applied Equine Behavior  ,2 (1-2-0),"Course Description: Understanding ethology, the science of animal behavior, will be a key component to evaluating horse behavior. Topics are instinctive, learned, social and reproductive behaviors as well as sensory perception and behavioral neuroanatomy important to equine health and welfare.",Prerequisite:  ANEQ 102.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",,Registration Information: Must register for lecture and laboratory.
ANEQ 193,Student Seminar--Exploring Student Success  Credit,1 (0-0-1),"Course Description: Learn about various academic topics and opportunities within the university. Become knowledgeable in several aspects of student success resources and opportunities in the Department of Animal Sciences, while building an inclusive community and finding belonging within the major. Introduction to exploring educational goals and aligning those goals with achieving desired professional goals.",Prerequisite:  None. Restriction: Must be a: Undergraduate.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Credit not allowed for both ANEQ 180A2 and ANEQ 193.
ANEQ 200,Applied Horsemanship and Equitation  ,2 (0-4-0),"Course Description: Foundation and advancement of horsemanship, on the ground and on horseback.",Prerequisite:  ANEQ 115.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",,Registration Information: Sophomore standing. Written consent of instructor.
ANEQ 201,A  Preparation of Horses for Competition: Western  ,2 (0-4-0),Course Description: Development of skills to prepare and present horses in competitions aimed at enhancing their value.,Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",,Registration Information: Written consent of instructor.
ANEQ 201,B  Preparation of Horses for Competition: English  ,2 (0-4-0),Course Description: Development of skills to prepare and present horses in competitions aimed at enhancing their value.,Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",,Registration Information: Written consent of instructor.
ANEQ 203,Equine Management  ,2 (1-2-0),Course Description: Equine management and care techniques with hands-on experience.,Prerequisite:  ANEQ 102.Term Offered: Spring.,,,Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",
ANEQ 204,Equine Facilities Management  ,3 (2-2-0),Course Description: Understanding of all aspects required to manage an equine facility coupled with hands-on experience.,Prerequisite:  ANEQ 102.,,,Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",,Registration Information: Must register for lecture and laboratory. Required field trips.Term Offered: Spring.
ANEQ 205,"Equine Assessment, Evaluation and Retraining  ",2 (0-4-0),"Course Description: Skills in assessing, evaluating, and training horses in transitional phases of their lives, including, but not limited to horses with a history of non-use, previous trauma, compliance issues, and other problematic concerns.",Prerequisite:  ANEQ 115.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",,Registration Information: Written consent of instructor. Credit not allowed for both ANEQ 205 and ANEQ 280A2.
ANEQ 220,Feeds and Feeding  ,2 (2-0-0),Course Description: Advantages and limitations of feedstuffs; nutrients and their functions; and feed practices for all physiological stages of livestock.,Prerequisite:  ANEQ 101 or ANEQ 102.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ANEQ 230,Farm Animal Anatomy and Physiology  ,3 (3-0-0),"Course Description: Basic concepts of farm animal anatomy and physiology; emphasis on growth, digestion, and reproduction.",Prerequisite:  LIFE 100 to 199 - at least 3 credits.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Credit not allowed for both ANEQ 230 and ANEQ 305.
ANEQ 249,Introduction to the Trail Riding Industry  Credit,1 (0-2-0),"Course Description: Emphasis on horse care, regulations, first aid, health, training, and hosting a trail ride.",Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",,Registration Information: Written consent of instructor.
ANEQ 250,Live Animal and Carcass Evaluation  ,3 (1-4-0),"Course Description: Growth, development, and value-determining characteristics of market animals.",Prerequisite:  ANEQ 101 or ANEQ 102.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",,Registration Information: Must register for lecture and laboratory.
