code,name,credits,description,prerequisite,registration,termsOffered,gradeMode,additionalInformation
STAA 551,Regression Models and Applications  ,2 (2-0-0),"Course Description: Model estimation and goodness of fit for linear models; confidence intervals for prediction and estimation; lack of fit, model diagnostics, transformations, model selection, influential observations, collinearity, interaction, weighted least squares, imputation.",Prerequisite:  MATH 369 and STAT 315. Restriction: Must be a: Graduate.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Admission to the Master of Applied Statistics or admission to the Graduate Certificate in Theory and Applications of Regression Models. Written consent of instructor. This is a partial semester course. Sections may be offered: Online.Term Offered: Fall.
STAA 552,Generalized Regression Models  ,2 (2-0-0),"Course Description: Categorical data analysis, estimation and testing for contingency tables, introduction to generalized linear models, logit and probit models for binary regression, extensions to nominal and ordinal multicategory responses, count data, Poisson and negative binomial regression, log-linear models.","Prerequisite:  STAA 551, may be taken concurrently or STAR 512 or STAT 512 or STAT 540.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Written consent of instructor. This is a partial semester course. Sections may be offered: Online.Term Offered: Fall.
STAA 553,Experimental Design  ,2 (2-0-0),"Course Description: Analysis of variance, covariance, randomized block, latin square, factorial, balanced and unbalanced designs. Applications to agriculture, biosciences. Implementation in SAS and R.",Prerequisite:  (STAA 551 or STAT 540) and (STAA 562 or STAT 530). Restriction: Must be a: Graduate.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Graduate standing. Written consent of instructor. This is a partial semester course. Sections may be offered: Online.Term Offered: Spring.
STAA 554,Mixed Models  ,2 (2-0-0),"Course Description: Topics in linear models that have both fixed and random predictors: split-plot and related designs, mixed-effects factorials, repeated measures, random coefficients, and spatial models for designed experiments. Introduction to generalized linear and nonlinear mixed models. Statistical topics will be integrated with implementation in SAS and R.",Prerequisite:  STAA 552. Restriction: Must be a: Graduate.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Graduate standing. Must have concurrent registration in STAA 553. Written consent of instructor. This is a partial semester course. Sections may be offered: Online.Term Offered: Spring.
STAA 555,Statistical Consulting Skills  Credit,1 (1-0-0),Course Description: Skills necessary to collaborate with non-statisticians. Communicate both verbally and in writing with collaborators while honing in on study objectives and identifying measures and factors. Readings of selected papers and texts and mock client sessions and shadowing. Common statistical tools necessary for statistical consulting will be reviewed.,Prerequisite:  None. Restriction: Must be a: Graduate.,,,Grade Mode:  S/U Sat/Unsat Only.,"Special Course Fee:  No.
",,Also Offered As:  STAT 555.,Registration Information: Graduate standing. Sections may be offered online. Credit not allowed for both STAA 555 and STAT 555.Term Offered: Fall.
STAA 556,Statistical Consulting  ,2 (2-0-0),"Course Description: Effective consulting to meet with clients, analyze real data, and prepare reports.",Prerequisite:  STAA 500 to 599 - at least 28 credits.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Written consent of instructor. This is a partial semester course. Sections may be offered: Online.Term Offered: Summer.
STAA 561,Probability with Applications  ,2 (2-0-0),"Course Description: Random variables, continuous and discrete distributions, expectations, joint and conditional distributions, moments and moment generating functions, transformations, order statistics.",Prerequisite:  MATH 369 or STAT 315. Restriction: Must be a: Graduate.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Admission to the Master of Applied Statistics or admission to the Graduate Certificate in Theory and Applications of Regression Models. Written consent of instructor. This is a partial semester course. Sections may be offered: Online.Term Offered: Fall.
STAA 562,Mathematical Statistics with Applications  ,2 (2-0-0),"Course Description: Theory and applications of estimations, testing, and confidence intervals. Computer simulations, sampling from the normal distribution.","Prerequisite:  STAA 561, may be taken concurrently or STAT 520.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Written consent of instructor. This is a partial-semester course.Term Offered: Fall.
STAA 565,Quantitative Reasoning  Credit,1 (1-0-0),"Course Description: Confounding, types of bias such as selection bias and regression effect bias, Simpson's paradox, experiments versus observational studies.","Prerequisite:  STAA 551 or STAR 512, may be taken concurrently or STAT 512. Restriction: Must be a: Graduate.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Graduate standing. This is a partial semester course. Sections may be offered: Online.Term Offered: Spring.
STAA 566,Data Visualization Methods  Credit,1 (1-0-0),"Course Description: Principles of effective graphs, data visualization methods, grammar of graphics, multi-panel conditioning, exploratory data analysis using graphics, 3D plotting, ROC curves, data wrangling.","Prerequisite:  STAA 551, may be taken concurrently or STAR 512, may be taken concurrently or STAT 512. Restriction: Must be a: Graduate.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Admission to Master of Applied Statistics program or Graduate Certificate in Data Analysis. This is a partial semester course. Sections may be offered: Online.Term Offered: Fall.
