code,name,credits,description,prerequisite,registration,termsOffered,gradeMode,additionalInformation
ART 100,Introduction to the Visual Arts (GT-AH1)  ,3 (3-0-0),Course Description: Exploration of the development of visual arts.,Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,Special Course Fee:  No.,"Additional Information:  Arts & Humanities 3B, Arts & Expression (GT-AH1).
",Registration Information: Sections may be offered: Online.
ART 105,Issues and Practices in Art  Credit,1 (1-0-0),"Course Description: Current issues, practices, and resources in the visual arts; integration of unified vocabulary in various art disciplines.",Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ART 110,Global Art History I  ,3 (3-0-0),Course Description: Art and architecture of the ancient world.,Prerequisite:  None.Term Offered: Fall.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ART 111,Global Art History II  ,3 (3-0-0),Course Description: Art and architecture in the era of global connection.,Prerequisite:  ART 110.Term Offered: Spring.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ART 120,Foundations--Time and Structure  ,3 (0-6-0),Course Description: Establishes a foundational understanding of digital literacy as part of a creative practice through the development of experimental media artworks in relation to interdisciplinary concepts.,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ART 135,Foundations - Form and Observation  ,3 (0-6-0),Course Description: Foundational understanding of visual literacy as part of a creative practice through the development of two-dimensional artworks exploring form through observational methods in relation to interdisciplinary concepts.,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ART 136,Introduction to Figure Drawing  ,3 (0-6-0),Course Description: Human form as basis for self-expression through various drawing media.,Prerequisite:  ART 135.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ART 160,Foundations - Color and Composition  ,3 (0-6-0),Course Description: Establishes a foundational understanding of color and composition as part of a creative practice through the development of artworks using two-dimensional methods in relation to interdisciplinary concepts.,Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ART 170,Foundations - Materials and Space  ,3 (0-6-0),Course Description: Establishes a foundational understanding of materials and space as part of a creative practice through the development of three-dimensional artworks in relation to interdisciplinary concepts.,Prerequisite:  None.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",
ART 200,Media Arts in Context  ,3 (3-0-0),"Course Description: History and contemporary practice of media-based arts. Addresses printmaking, graphic design, photography, film, video, computer-generated imagery, digital fabrication, and other cognate disciplines.",Prerequisite:  None.,,,Grade Mode:  Traditional.,Special Course Fee:  No.,"Additional Information:  Arts & Humanities 3B.
",Registration Information: Offered as an online course only.
ART 212,Global Art History III  ,3 (3-0-0),Course Description: Global modern and contemporary art and architecture.,Prerequisite:  ART 111.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ART 230,Photo Image Making I  ,3 (0-6-0),Course Description: Photographic imagery as an art medium; exploration of silver-based (film) materials.,Prerequisite:  ART 111 and ART 120 and ART 135 and ART 160 and ART 170.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  Yes.
",
