code,name,credits,description,prerequisite,registration,termsOffered,gradeMode,additionalInformation
ATS 150,Science of Global Climate Change  ,3 (3-0-0),"Course Description: Physical basis of climate change. Energy budget of the earth, the greenhouse effect, carbon cycle, paleoclimate, projections of 21st-century climate.",Prerequisite:  None. Restriction: Must be a: Undergraduate.,,"Terms Offered: Fall, Spring.",Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Sections may be offered: Online.
ATS 350,Introduction to Weather and Climate  ,2 (2-0-0),Course Description: Behavior of atmosphere and its influence upon human's activities.,Prerequisite:  None.Term Offered: Fall.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ATS 351,Introduction to Weather and Climate Lab  Credit,1 (0-3-0),"Course Description: Actual weather data, visualization of meteorological phenomena, in-depth discussion of current environmental issues.","Prerequisite:  ATS 350, may be taken concurrently.Term Offered: Fall.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ATS 495,Independent Study  ,Var[1-18] (0-0-0),Course Description: ,Prerequisite:  None.,,"Terms Offered: Fall, Spring, Summer.",Grade Mode:  Instructor Option.,"Special Course Fee:  No.
",
ATS 543,Global Climate Change  ,2 (2-0-0),"Course Description: Climate change science, climate change impacts, and climate change mitigation, including discussions of current topics in climate change.",Prerequisite:  BZ 300 to 499 or ECOL 300 to 499 or LIFE 300 to 499 or CHEM 300 to 499.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Also Offered As:  ESS 543.,Registration Information: Sections may be offered: Online. Credit not allowed for both ATS 543 and ESS 543.Term Offered: Spring.
ATS 555,Air Pollution  ,3 (3-0-0),"Course Description: Nature, ambient concentrations, sources, sinks, and physiological activities of pollutants; meteorology; legislation; social and economic factors.",Prerequisite:  (CHEM 113) and (MATH 261 or MATH 340) and (PH 122 or PH 142).Term Offered: Spring (odd years).,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ATS 556,Climate Intervention to Cool a Warming Planet  ,2 (2-0-0),"Course Description: Introduction to the climate system and its modification by human activities, different potential climate intervention methods, and the social, legal and political issues salient to the topic.","Prerequisite:  None. Restriction: Must not be a: Freshman, Sophomore.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Junior standing. Credit not allowed for both ATS 556 and ATS 580A4.Term Offered: Spring.
ATS 560,Air Pollution Measurement  ,2 (1-3-0),"Course Description: Examination and application of techniques for air pollution measurement. Includes sampling and analysis of gases, aerosols, and precipitation.",Prerequisite:  CHEM 114.,,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",,Registration Information: Must register for lecture and laboratory.Term Offered: Fall.
ATS 601,Atmospheric Dynamics I  ,2 (2-0-0),Course Description: Equations of motion; earth's rotation; balanced motion; vorticity and Rossby waves; shallow water models; potential vorticity.,"Prerequisite:  MATH 261 and MATH 530. Restriction: Must be a: Graduate, Professional.Term Offered: Fall.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ATS 602,Atmospheric Dynamics II  ,2 (2-0-0),"Course Description: Sound waves, gravity waves, Rossby waves; numerical weather predication; baroclinic instability; general circulation; tropical dynamics.","Prerequisite:  ATS 601. Restriction: Must be a: Graduate, Professional.Term Offered: Spring.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ATS 604,Atmospheric Modeling  ,3 (3-0-0),Course Description: Design of numerical models of the atmosphere; applications to current problems. Emphasis on practical understanding of relevant numerical methods.,"Prerequisite:  ATS 601. Restriction: Must be a: Graduate, Professional.Term Offered: Fall (odd years).",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ATS 605,Atmospheric Circulations  ,3 (3-0-0),"Course Description: Observations and theory of the general circulation of the atmosphere, with emphasis on understanding physical mechanisms.","Prerequisite:  ATS 602, may be taken concurrently. Restriction: Must be a: Graduate, Professional.Term Offered: Spring.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ATS 606,Introduction to Climate  ,2 (2-0-0),"Course Description: Global energy balance, surface energy balance, the hydrological cycle, atmosphere general circulation, ocean general circulation, climate variability, climate sensitivity and feedbacks.","Prerequisite:  MATH 261 and MATH 530. Restriction: Must be a: Graduate, Professional.Term Offered: Spring.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ATS 607,Computational Methods for Atmospheric Science  ,3 (3-0-0),Course Description: Computer programming tools unique to and common in the atmospheric sciences.,"Prerequisite:  ATS 601, may be taken concurrently. Restriction: Must be a: Graduate, Professional.Term Offered: Spring.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ATS 610,Physical Oceanography  ,3 (3-0-0),Course Description: Foundations of ocean circulation theory and the general circulation of the oceans using observational data and rotating tank experiments.,"Prerequisite:  None. Restriction: Must be a: Graduate, Professional.Term Offered: Fall.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ATS 620,Thermodynamics and Cloud Physics  ,2 (2-0-0),"Course Description: Equilibrium thermodynamics, cloud microphysics, precipitation formation, and cloud electrification.","Prerequisite:  MATH 340 and PH 142. Restriction: Must be a: Graduate, Professional.Term Offered: Fall.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ATS 621,Atmospheric Chemistry  ,2 (2-0-0),Course Description: Overview of chemical kinetics and equilibria; sources and sinks of pollutants; photochemistry and smog formation; aqueous-phase chemistry; acid rain.,"Prerequisite:  CHEM 114 and MATH 340 and PH 142. Restriction: Must be a: Graduate, Professional.Term Offered: Fall.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ATS 622,Atmospheric Radiation  ,2 (2-0-0),Course Description: Role of radiation in the energy balance of the climate system; Absorption and scattering of solar radiation; Emission and absorption of terrestrial radiation; Interactions of radiation with clouds and aerosols; Role of radiative active trace gases.,"Prerequisite:  ATS 620. Restriction: Must be a: Graduate, Professional.Term Offered: Spring.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ATS 623,Atmospheric Boundary Layer  ,2 (2-0-0),Course Description: Equations for shallow atmospheric motions; thermal instability of a fluid layer; atmospheric turbulence; flow stability; 1-D mixed layer models.,"Prerequisite:  ATS 601, may be taken concurrently. Restriction: Must be a: Graduate, Professional.Term Offered: Fall (even years).",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
ATS 631,Introduction to Atmospheric Aerosols  ,2 (1-3-0),"Course Description: Physical, chemical and microphysical characteristics of atmospheric particulate matter; measurement principles and techniques.","Prerequisite:  None. Restriction: Must be a: Graduate, Professional.Term Offered: Spring.",,,Grade Mode:  Traditional.,"Special Course Fee:  No.
",
